ZIP_CODE,RENT_INDEX,MEDIAN_RENT
10282,92.485913856249283,6300.0
11354,48.680314682591472,2250.0
11355,47.852721704567024,2162.5
11367,26.356253729202312,2000.0
11368,47.393990039758577,2215.0
11370,41.04766615820963,2200.0
11372,43.493651222087067,2200.0
11373,45.520249315800825,2100.0
11374,47.998779663429481,2325.0
11375,51.807361903644079,2500.0
11377,43.764538913660175,2200.0
11385,51.610660761272143,2275.0
11415,41.314505078973689,2300.0
11432,23.870447811253346,1999.5
11435,32.029701889326283,1975.0
10453,36.845671815426812,1650.0
10456,38.760227967887481,1562.5
10457,37.555757408450575,1575.0
10458,36.677786697944782,1600.0
10461,31.428978341633417,1700.0
10462,40.280056800389659,1750.0
10463,37.601497296372216,2122.5
10467,35.809517012779082,1650.0
10468,38.28528231052195,1600.0
10471,19.731503604410612,2100.0
10473,35.474709705396954,1650.0
10001,53.189116912322412,5000.0
10002,53.157908195297843,3300.0
10003,62.180055567926694,3995.0
10004,86.494910297822742,5560.0
10005,86.849714160070349,5547.5
10006,55.666114989465662,4895.0
10007,94.042150188216624,6295.0
10009,33.784719038427383,3390.0
10010,73.928216139381206,4350.0
10012,62.054936135266296,4000.0
10013,51.868343580370059,5025.0
10014,50.618872630182153,4000.0
10016,54.892219152104119,4462.5
10017,44.610412533814241,4200.0
10018,46.862769349164466,4695.0
10019,52.748955673333128,4997.5
10021,44.115405352162782,4450.0
10022,54.910497540482858,4450.0
10023,55.329278444192155,4987.5
10024,65.315532701393948,4295.0
10025,57.333802438212224,3500.0
10026,48.598798801210748,2795.0
10027,51.651524209648755,2650.0
10028,48.020747322018281,2995.0
10030,49.683389268245129,2250.0
10031,45.944936795942297,2100.0
10032,45.704323431106147,2000.0
10033,44.754036799916719,2200.0
10035,27.672298878866467,2550.0
10036,63.010467529013397,4000.0
10038,81.169861596434458,4762.5
10040,35.636925530983369,1850.0
10075,30.625109864941347,3300.0
11101,36.120967131257302,3574.5
11102,36.227756299723012,2500.0
11103,40.3603371723392,2300.0
11104,53.614999657499972,2600.0
11105,40.72071717351362,2400.0
11106,25.882629794308013,2400.0
11109,59.54893973138136,4000.0
10128,50.260405270724348,3395.0
11201,72.002292685373135,4325.0
11203,40.437708881574494,1922.5
11204,38.362023934047656,1750.0
11205,53.928651596973531,2995.5
11206,50.527842171195509,2699.0
11207,48.697582824468569,2050.0
11209,46.843151861078809,2200.0
11210,23.654074604147091,1850.0
11211,49.649175967969228,3298.0
11212,38.143146057398795,1650.0
11213,48.324434005117979,2200.0
11214,41.746289357244791,1800.0
11215,54.887215318484252,2995.0
11216,55.262539126110603,2500.0
11217,58.527047197249573,3350.0
11218,45.164901402567118,2200.0
11220,45.966591804273662,2000.0
11221,53.707998424973447,2300.0
11222,56.828539433284405,2985.0
11223,38.283200119641712,1900.0
11225,54.357281163167862,2500.0
11226,48.34155614048256,2065.0
11228,42.602454905356417,2000.0
11229,42.762633018889375,1875.0
11230,45.422320861614374,2000.0
11231,33.96196310404509,3000.0
11232,46.144496078410356,2200.0
11233,49.506722357454414,2100.0
11234,40.334313461141363,1800.0
11235,46.479893487818089,2100.0
11236,35.496245887442115,1750.0
11237,52.253392579883894,2400.0
11238,50.668422697203503,2799.0
11249,38.933290498659176,3750.0
